Nombre,Cantidad,Impuesto,"Precio de venta","Precio de venta + impuestos","Lista de precios 1 (%)","Lista de precios 2 (%)","Lista de precios 3 (%)","Lista de precios 4 (%)"
"jeringas 1 ml",2,0,5752,5752,,,,
"jeringas 10 ml",1,0,8653,8653,,,,
"Jeringas 3 ml",2,0,6711,6711,,,,
"jeringas 5 ml",5,0,6225,6225,,,,
"juguete chifle mediano",2,0,2960,2960,,,,
"Karsivan comprimidos",60,21,1732,2096,,,,
"Kit dedal",2,0,2520,2520,,,,
"kit dental x2 unidades",2,0,2600,2600,,,,
"kit dentales y cepillo",1,0,3800,3800,,,,
"Kualcohepat blister",10,21,4544,5498,,,,
"Liver pack x 5",3,0,4620,4620,,,,
"Livra cordero perros adultos",4,0,28091,28091,,,,
"Livra perros adultos minis",2,0,23317,23317,,,,
"Meloxican 4 B12",131,21,850,1029,,,,
"Meltra susp. 15 ml - antiparasitario susp.",1,21,6797,8224,,,,
"Metoclopramida inyectable x 50",2,21,9936,12022,,,,
MICROCHIP,7,21,10016,12119,,,,
"Mochila capsula 40 x 30 cm",2,0,29700,29700,,,,
"Moises reversible chico",2,0,41310,41310,,,,
"mometamax por dosis",20,21,19553,23659,,,,
"moñito cuero cerdo",20,0,506,506,,,,
"Mordillo 8 de Goma + Pelota c Puas (x2) Soga Alpina 8mm con Largo 85 cm (S1202)",1,0,6400,6400,,,,
"Mordillo Limpia Diente Para Refrigerar",4,0,3420,3420,,,,
"Mupets Piedras",2,21,12000,14520,,,,
"New pet comedero comelento chico",6,0,5400,5400,,,,
"New pet comedero comelento grande",2,0,6480,6480,,,,
"Nexgard combo L",2,21,19371,23438,,,,
"Nexgard combo S",2,21,16589,20072,,,,
"Nido Nª1 polar vellón",1,0,27456,27456,,,,
"Nido Nª2 polar copos",1,0,23095,23095,,,,
"Nogastrol 10",4,21,6854,8293,,,,
"Nudos Nª1",6,0,1683,1683,,,,
"Nudos Nª2",10,0,1870,1870,,,,
"Nudos Nª3",4,0,2244,2244,,,,
"Nudos Nª4",3,0,3400,3400,,,,
Nutripet,3,21,7209,8723,,,,
"Nutripet x 80 gr",1,21,10107,12229,,,,
"Ocladerm 16 mg",2,21,41006,49617,,,,
"Ocladerm 5,4",4,21,26532,32104,,,,
"Odontobiotic blister",6,21,7499,9073,,,,
"Ofloxacina gotas oftalm",3,21,9117,11032,,,,
"Ohm pasta gatos",1,21,10880,13165,,,,
"ontal 15 x 25, por comp",25,21,600,726,,,,
"orejas mediana cuero",61,0,1007,1007,,,,
"Osspret Ketconazol",3,21,15307,18522,,,,
"Otovier NF",3,21,6851,8289,,,,
"Palita sanitaria",10,0,990,990,,,,
"Palta Catnip",2,0,4680,4680,,,,
"Paños Can Cat",2,0,11220,11220,,,,
"pelota brilla oscuridad mediana",1,0,5600,5600,,,,
"Pelota caucho  maciza 7.5 cm",3,0,7560,7560,,,,
"Pelota caucho maciza  5.5 cm",2,0,3780,3780,,,,
"Pelota con Puas de Goma x 2 unidades con Soga",3,0,8155,8155,,,,
"Pelota de Goma c Puas Grande (CH36) con Soga Alpina 12mm x Largo 70 cm (S1602)",3,0,5760,5760,,,,
"Pelota de Goma chica Soga Alpina 8mm con Largo 25 cm (S401)",1,0,6480,6480,,,,
"Pelota de Goma mediana Soga Alpina 8mm con Largo 35 cm (S701)",1,0,8000,8000,,,,
"pelota de soga 5 cm",3,0,2484,2484,,,,
"pelota de tenis",3,0,3840,3840,,,,
"Pelota Dosificadora con sonido",2,0,4400,4400,,,,
"pelota dura chica",5,0,3200,3200,,,,
"pelota electronica",3,0,9920,9920,,,,
"Pelota hilo fluor c/u",13,0,1620,1620,,,,
"pelota magic cat espiral",2,0,3240,3240,,,,
"pelota para gatos educadora",1,0,3698,3698,,,,
"Pelotita Acrilica c/ Sonajero",6,0,685,685,,,,
"pelotita que brillan en la oscuridad grande",1,0,2550,2550,,,,
"pelotitas acrílicas sonajero",4,0,450,450,,,,
"pelotitas con cuerda  chica",1,0,4029,4029,,,,
"pelotitas de caucho",2,0,2500,2500,,,,
"pelotitas de tenis",1,0,2040,2040,,,,
"pelotitas magic cat",2,0,3060,3060,,,,
"pelotitas que iluminan en la oscuriddad",6,0,2040,2040,,,,
"pelotitas tenis chica",1,0,1530,1530,,,,
Peluches,3,0,3200,3200,,,,
"perfos gato menos de 4 kg",3,21,3344,4047,,,,
"perfos gatos mas de 4 kg",6,21,3780,4574,,,,
"PERFOS MAX CANINOS 2-5 KG.",2,21,2590,3134,,,,
"PERFOS MAX CANINOS 20-40 KG.",1,21,3518,4257,,,,
"PERFOS MAX CANINOS 40-60 KG.",2,21,4172,5048,,,,
"Pet Protector",2,21,19,23,,,,
"Pets protector 10 a 20 kg naranja",1,21,27390,33142,,,,
"Pets Protector 2-4,4 kg",1,21,18493,22377,,,,
"Pets Protector 20-32 kg",1,21,33418,40436,,,,
"Pets Protector 32-64 kg",2,21,40970,49573,,,,
"Pets Protector 4,4-10 kg",1,21,19541,23645,,,,
"Pez hilo sisal",2,0,2860,2860,,,,
"Pimocard 5 blister",6,21,4401,5326,,,,
"Piper Traquea",7,0,2888,2888,,,,
"Plato come lento chico",5,0,5400,5400,,,,
"Plato de goma con mosquetón",2,0,3150,3150,,,,
"plato goma plegable c/mosqueton",2,0,2970,2970,,,,
"Pollo grande - gallinaa grande",1,0,4930,4930,,,,
"pollo mediano - gallina",3,0,4320,4320,,,,
"Polvo Cicatrizante",6,0,7200,7200,,,,
"Pomada bactericida - nitrofurazona",3,0,6981,6981,,,,
portaobjetos,2,0,1492,1492,,,,
"Pouch Carne perro Premium",12,0,2812,2812,,,,
"Pouch Cordero Patagonico gato",12,0,2812,2812,,,,
"Pouch Cordero perro",12,0,2812,2812,,,,
"Pouch salmon y cordero gato",12,0,2812,2812,,,,
"POWER GOLD 1 MES - 2 A 4,5 KG",2,21,13833,16738,,,,
"POWER GOLD 1 MES - 4.6 a 10 kg",2,21,13467,16295,,,,
"POWER GOLD 1 MES - 40,1 a 56 kg",2,21,22737,27512,,,,
"Power pet polivitaminico",2,0,7000,7000,,,,
"Prednisolona 10 mg - PYO 10",462,21,2227,2695,,,,
"Prednisolona 20 - prednisolona PYO 20",12,21,3474,4203,,,,
"Prednisolona 5 mg - PYO 5  blister",3,21,2496,3020,,,,
"pregabaliv 80 comp",13,21,1886,2283,,,,
"Pregalbech 20 ml",2,21,22285,26965,,,,
"pretal gato - cat set arnes gato",5,0,4680,4680,,,,
"Previcox 57 mg comp",40,21,1645,1991,,,,
"Profedyl 25 mg carprofeno",25,21,248,299,,,,
"rascador carton",2,0,9399,9399,,,,
"rascador forma de ocho",1,0,22100,22100,,,,
"rascador gato ancho",3,0,8640,8640,,,,
"Rascador Ovalado Para Gatos 50cms",2,0,18900,18900,,,,
"Rasqueta goma oval",2,0,2880,2880,,,,
"rata con pluma",6,0,1260,1260,,,,
"ratas colores",2,0,3230,3230,,,,
"Ratatrak cebo 250",2,0,4800,4800,,,,
"Ratitas Chifle",4,0,1425,1425,,,,
"raton hilo sisal per-ros",2,0,3420,3420,,,,
"Raton ojos saltones",5,0,2880,2880,,,,
"raton pluma pelota pluma",1,0,4000,4000,,,,
"Renal Advance",1,21,14774,17877,,,,
